resultsFileName : 2016-02-08_linux_v1.0.6_node-v0.12.7_v100to1k_1454970261366.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  3     1000     1000        1    0.341   0.473   0.623   1.546   0.083   0.000   0.000 100.000   0.100   filterAsync_k1to100_fixedKey_k1d_v1kto1k                                   
 23     1000     1000        1    0.464   0.524   0.893  15.344   0.495   0.000   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k4d_v1kto1k                                   
  5      100      100      100   42.033  44.829  45.360  45.492   1.532   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 35      100      100       10    4.251  12.447  14.159  14.517   2.473   0.004   0.012  54.000   0.540   filter_k10to100_m50_v100to100                                              
 32     1000     1000       11   46.921  52.375  55.042 245.051   7.157   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  0     1000      100        1    0.841   1.220   1.511   6.114   0.279   0.008   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  7     1000     1000        1    9.255  12.032  13.047  18.219   1.603   0.009   0.012 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 22     1000     1000        1    3.615   4.871   5.278  17.744   0.699   0.004   0.005 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 25     1000     1000        1    5.609   6.872   7.303  18.792   0.711   0.006   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 16      100      100        1    0.552   1.016   3.638   3.786   0.448   0.006   0.010  56.000   0.560   filter_k1to100_m50_v100to100                                               
 31     1000     1000        1    5.486   8.892  26.555  54.795   3.785   0.005   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 19      100      100        1    0.571   1.281   1.588   1.639   0.249   0.006   0.013  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 38     1000     1000        1    5.882  14.224  16.164  17.592   2.814   0.006   0.014  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 34      100      100        1    0.362   0.424   2.000   2.412   0.227   0.004   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 26     1000     1000        1    3.413   4.691   5.227   6.579   0.539   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 14      100        1        1    0.040   0.058   0.075   0.079   0.009   0.040   0.058  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  9     1000        1        1    0.038   0.056   0.068   0.973   0.050   0.038   0.056  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  1      100        1        1    0.028   0.044   0.241   0.346   0.032   0.028   0.044  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 30     1000        1        1    0.026   0.040   0.050   0.135   0.007   0.026   0.040  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 24      100        1      100    0.701   0.833   3.648   4.080   0.424   0.007   0.008 100.000 100.000   match_k100to100_m100_v100to100                                             
 21     1000        1      100    0.749   0.895   2.456  11.537   0.426   0.007   0.009 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  6      100        1       10    0.087   0.112   0.153   0.163   0.017   0.009   0.011  54.000  54.000   match_k10to100_m50_v100to100                                               
 37     1000        1       11    0.089   0.118   0.147   8.314   0.382   0.008   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 15      100        1        1    0.011   0.019   0.030   0.032   0.004   0.011   0.019  56.000  56.000   match_k1to100_m50_v100to100                                                
 29     1000        1        1    0.013   0.026   0.033   9.760   0.308   0.013   0.026  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 28      100        1        1    0.006   0.008   0.022   0.024   0.002   0.006   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  4     1000        1        1    0.006   0.009   0.021   0.665   0.023   0.006   0.009  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  8      100        1        1    0.006   0.007   0.015   0.015   0.001   0.006   0.007  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 10     1000        1        1    0.006   0.008   0.020   0.612   0.025   0.006   0.008  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 11      100        1        1    0.006   0.009   0.019   0.019   0.002   0.006   0.009  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 27     1000        1        1    0.006   0.007   0.020   0.065   0.003   0.006   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 20      100        1        1    0.009   0.012   0.075   0.109   0.010   0.009   0.012  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 18     1000        1        1    0.014   0.038   0.047   0.659   0.033   0.014   0.038  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
