resultsFileName : 2016-01-25_win32_v1.0.7_node-v0.12.3_v100to1k_1453729206875.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 30      100      100      100   40.462  43.687  46.133  46.345   2.002   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 34      100      100       10    3.491   8.724  10.594  10.922   2.190   0.003   0.009  54.000   0.540   filter_k10to100_m50_v100to100                                              
 22     1000     1000       11   41.891  54.458  64.357  99.439   5.921   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 29     1000      100        1    0.743   1.304   5.736   8.799   0.910   0.007   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  7     1000    10000        1   73.881 107.102 119.960 137.565  16.361   0.007   0.011 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
  8     1000     1000        1    6.973   9.845  11.089  50.655   2.097   0.007   0.010 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  3      100      100        1    0.474   1.771   3.176   3.674   0.489   0.005   0.018  56.000   0.560   filter_k1to100_m50_v100to100                                               
 35     1000     1000        1    4.580  10.336  12.723  24.242   2.673   0.005   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  0      100      100        1    0.367   1.143   3.744   3.947   0.585   0.004   0.011  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 20     1000     1000        1    4.211   7.364   8.950  13.200   1.464   0.004   0.007  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 21      100      100        1    0.250   0.576   2.623   2.816   0.380   0.003   0.006  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 13     1000     1000        1    2.802   5.231   6.594   8.571   1.077   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 25      100        1        1    0.026   0.042   1.581   2.363   0.234   0.026   0.042  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 28     1000        1        1    0.024   0.041   0.068  14.475   0.457   0.024   0.041  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  9      100        1        1    0.017   0.033   0.234   0.354   0.034   0.017   0.033  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 26     1000        1        1    0.016   0.028   0.068   6.277   0.199   0.016   0.028  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 16      100        1      100    0.532   0.960   5.355   5.516   0.709   0.005   0.010 100.000 100.000   match_k100to100_m100_v100to100                                             
 18     1000        1      100    0.564   1.162   3.136   5.929   0.466   0.006   0.012 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 12      100        1       10    0.061   0.098   0.354   0.392   0.043   0.006   0.010  54.000  54.000   match_k10to100_m50_v100to100                                               
 19     1000        1       11    0.064   0.128   0.272   2.295   0.079   0.006   0.012  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  6      100        1        1    0.008   0.016   0.047   0.054   0.006   0.008   0.016  56.000  56.000   match_k1to100_m50_v100to100                                                
 10     1000        1        1    0.007   0.014   0.038   0.795   0.027   0.007   0.014  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.003   0.007   0.018   0.018   0.003   0.003   0.007  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 33     1000        1        1    0.003   0.004   0.006   0.089   0.003   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  5      100        1        1    0.004   0.014   0.186   0.283   0.028   0.004   0.014  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 15     1000        1        1    0.003   0.004   0.007   0.118   0.004   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  1      100        1        1    0.003   0.008   0.142   0.146   0.019   0.003   0.008  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 14     1000        1        1    0.003   0.004   0.013   0.068   0.003   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  4      100        1        1    0.010   0.045   0.269   0.360   0.038   0.010   0.045  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 24     1000        1        1    0.004   0.005   0.012   0.216   0.008   0.004   0.005  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  2      100        1        1    0.012   0.037   0.272   0.334   0.037   0.012   0.037  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 11     1000        1        1    0.015   0.028   0.041   2.878   0.091   0.015   0.028  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 27      100        1        1    0.005   0.011   0.047   0.048   0.006   0.005   0.011  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 32     1000        1        1    0.005   0.006   0.013   0.036   0.002   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 31      100        1        1    0.006   0.007   0.019   0.022   0.002   0.006   0.007  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 23     1000        1        1    0.006   0.008   0.017   0.185   0.008   0.006   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
