resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453575508399.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 26      100      100      100   51.668  54.145  57.328  58.547   1.611   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 18      100      100       10    5.358   6.751   8.787   9.463   0.708   0.005   0.007  54.000   0.540   filter_k10to100_m50_v100to100                                              
 23     1000     1000       11   59.498  66.324  74.382 123.127   5.085   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  3     1000      100        1    1.222   1.792   2.738   4.427   0.361   0.012   0.018  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  4     1000     1000        1   13.255  17.802  19.915  24.153   2.347   0.013   0.018 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 30      100      100        1    0.666   0.785   3.855   4.629   0.444   0.007   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
  0     1000     1000        1    7.271   9.405  19.361  53.178   2.593   0.007   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 11      100      100        1    0.572   0.685   2.487   2.704   0.273   0.006   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  5     1000     1000        1    5.522   6.669   7.057   7.294   0.498   0.006   0.007  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 28      100      100        1    0.454   0.713   3.145   3.406   0.416   0.005   0.007  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 33     1000     1000        1    4.259   6.431   6.829   9.355   0.856   0.004   0.006  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 17      100        1        1    0.105   0.135   0.214   0.217   0.019   0.105   0.135  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  8     1000        1        1    0.100   0.126   0.149   1.126   0.046   0.100   0.126  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 32      100        1        1    0.087   0.113   0.525   0.743   0.066   0.087   0.113  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 12     1000        1        1    0.090   0.154   0.200   1.906   0.062   0.090   0.154  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  9      100        1      100    0.823   0.930   5.982   6.707   0.703   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 24     1000        1      100    0.867   1.632   2.811  77.984   2.463   0.009   0.016 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  6      100        1       10    0.094   0.120   0.138   0.142   0.012   0.009   0.012  54.000  54.000   match_k10to100_m50_v100to100                                               
  2     1000        1       11    0.102   0.129   0.181   2.263   0.097   0.009   0.012  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 31      100        1        1    0.017   0.032   0.126   0.179   0.017   0.017   0.032  56.000  56.000   match_k1to100_m50_v100to100                                                
 13     1000        1        1    0.017   0.030   0.044   0.535   0.023   0.017   0.030  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 27      100        1        1    0.011   0.019   0.410   0.642   0.063   0.011   0.019  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 20     1000        1        1    0.007   0.008   0.021   0.106   0.004   0.007   0.008  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 22      100        1        1    0.007   0.008   0.039   0.047   0.004   0.007   0.008  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 34     1000        1        1    0.011   0.014   0.024   0.083   0.003   0.011   0.014  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 25      100        1        1    0.011   0.023   0.025   0.025   0.003   0.011   0.023  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 21     1000        1        1    0.007   0.008   0.020   0.029   0.002   0.007   0.008  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 15      100        1        1    0.014   0.036   0.060   0.065   0.011   0.014   0.036  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  1     1000        1        1    0.014   0.041   0.050   0.682   0.033   0.014   0.041  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 16      100        1        1    0.026   0.042   0.065   0.073   0.011   0.026   0.042  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 10     1000        1        1    0.027   0.037   0.047   0.077   0.010   0.027   0.037  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 14      100        1        1    0.011   0.022   0.038   0.040   0.005   0.011   0.022  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 19     1000        1        1    0.011   0.024   0.028   1.353   0.043   0.011   0.024  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 29      100        1        1    0.015   0.028   0.165   0.242   0.023   0.015   0.028  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  7     1000        1        1    0.015   0.028   0.031   0.193   0.008   0.015   0.028  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
