resultsFileName : 2016-01-28_linux_v1.0.6_node-v5.4.1_v100to1k_1453990070808.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 21      100      100      100   42.293  43.803  92.618 107.264   7.067   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
  1      100      100       10    3.769   4.586   7.471   8.593   0.604   0.004   0.005  54.000   0.540   filter_k10to100_m50_v100to100                                              
 28     1000     1000       11   47.643  53.654  65.086 204.460   7.887   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 19     1000      100        1    0.660   0.979   1.863   3.244   0.239   0.007   0.010  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  2     1000     1000        1    8.877  12.597  14.530  40.687   2.232   0.009   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 17      100      100        1    0.513   0.671   2.980   3.519   0.355   0.005   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
 29     1000     1000        1    6.070   7.993   8.655  14.014   0.888   0.006   0.008  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 34      100      100        1    0.373   0.768   2.745   2.893   0.343   0.004   0.008  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 13     1000     1000        1    3.541   5.773  14.329  31.299   2.032   0.004   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  5      100      100        1    0.286   0.324   3.517   4.542   0.464   0.003   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 27     1000     1000        1    2.806   4.635   4.906   5.194   0.719   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 22      100        1        1    0.053   0.069   0.189   0.212   0.020   0.053   0.069  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 16     1000        1        1    0.055   0.074   0.092   8.790   0.277   0.055   0.074  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  7      100        1        1    0.047   0.052   0.249   0.353   0.031   0.047   0.052  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 24     1000        1        1    0.043   0.058   0.079   3.198   0.101   0.043   0.058  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 11      100        1      100    0.608   1.420   6.021   6.101   0.971   0.006   0.014 100.000 100.000   match_k100to100_m100_v100to100                                             
 30     1000        1      100    0.597   0.667   2.383   4.281   0.350   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 18      100        1       10    0.065   0.086   0.099   0.106   0.010   0.006   0.009  54.000  54.000   match_k10to100_m50_v100to100                                               
 31     1000        1       11    0.069   0.087   0.103   9.567   0.315   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 14      100        1        1    0.008   0.017   0.022   0.023   0.003   0.008   0.017  56.000  56.000   match_k1to100_m50_v100to100                                                
  4     1000        1        1    0.010   0.015   0.024   8.365   0.265   0.010   0.015  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 33      100        1        1    0.002   0.004   0.031   0.040   0.004   0.002   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 32     1000        1        1    0.002   0.003   0.009   0.023   0.001   0.002   0.003  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  6      100        1        1    0.002   0.004   0.010   0.010   0.001   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  0     1000        1        1    0.004   0.005   0.015   1.519   0.065   0.004   0.005  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 12      100        1        1    0.002   0.003   0.012   0.016   0.001   0.002   0.003  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 20     1000        1        1    0.002   0.003   0.014   0.958   0.030   0.002   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 23      100        1        1    0.007   0.024   0.039   0.040   0.008   0.007   0.024  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  8     1000        1        1    0.007   0.023   0.028   0.233   0.010   0.007   0.023  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 25      100        1        1    0.009   0.029   0.324   0.481   0.047   0.009   0.029  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 10     1000        1        1    0.016   0.022   0.025   0.111   0.008   0.016   0.022  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
  3      100        1        1    0.004   0.005   0.024   0.029   0.003   0.004   0.005  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  9     1000        1        1    0.005   0.005   0.008   1.631   0.051   0.005   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 15      100        1        1    0.007   0.016   0.184   0.199   0.024   0.007   0.016  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 26     1000        1        1    0.004   0.005   0.015   2.065   0.065   0.004   0.005  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
