resultsFileName : 2016-01-28_linux_v1.0.6_node-v5.4.1_v100to1k_1453990410323.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 17      100      100      100   41.044  43.235  45.926  47.216   1.284   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 34      100      100       10    4.073   5.534   6.296   6.527   0.597   0.004   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
 23     1000     1000       11   47.581  52.982  72.065 162.627   6.457   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  8     1000      100        1    0.809   1.241   1.817   4.613   0.265   0.008   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 33     1000     1000        1    9.278  13.194  14.789  17.654   2.012   0.009   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 13      100      100        1    0.501   0.799   3.162   3.781   0.382   0.005   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
 32     1000     1000        1    6.500   8.407   9.096  10.628   0.906   0.007   0.008  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  1      100      100        1    0.359   0.959   1.904   2.296   0.264   0.004   0.010  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 24     1000     1000        1    3.605   5.497   5.806   6.311   0.759   0.004   0.005  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  2      100      100        1    0.277   0.620   1.228   1.379   0.155   0.003   0.006  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  5     1000     1000        1    2.858   3.846   4.129   4.755   0.401   0.003   0.004  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 14      100        1        1    0.057   0.077   0.483   0.632   0.060   0.057   0.077  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 21     1000        1        1    0.055   0.074   0.091   0.704   0.024   0.055   0.074  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 26      100        1        1    0.046   0.063   0.178   0.202   0.019   0.046   0.063  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 28     1000        1        1    0.045   0.057   0.084   4.286   0.136   0.045   0.057  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 18      100        1      100    0.610   0.674   4.478   4.714   0.535   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
  9     1000        1      100    0.622   1.248   2.643   3.674   0.359   0.006   0.012 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  3      100        1       10    0.075   0.138   0.370   0.389   0.047   0.008   0.014  54.000  54.000   match_k10to100_m50_v100to100                                               
  4     1000        1       11    0.068   0.094   0.131   7.314   0.236   0.006   0.009  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  7      100        1        1    0.007   0.011   0.018   0.019   0.002   0.007   0.011  56.000  56.000   match_k1to100_m50_v100to100                                                
 12     1000        1        1    0.009   0.013   0.021   0.499   0.020   0.009   0.013  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 25      100        1        1    0.003   0.004   0.011   0.014   0.001   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 29     1000        1        1    0.003   0.004   0.010   0.163   0.005   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  6      100        1        1    0.002   0.004   0.013   0.016   0.002   0.002   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 10     1000        1        1    0.003   0.093   0.112   0.261   0.026   0.003   0.093  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 16      100        1        1    0.002   0.004   0.020   0.021   0.003   0.002   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 27     1000        1        1    0.002   0.003   0.014   3.174   0.102   0.002   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 30      100        1        1    0.006   0.025   0.040   0.041   0.008   0.006   0.025  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 15     1000        1        1    0.006   0.021   0.030   2.351   0.074   0.006   0.021  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 11      100        1        1    0.017   0.277   0.316   0.323   0.070   0.017   0.277  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  0     1000        1        1    0.017   0.026   0.049   1.737   0.076   0.017   0.026  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 31      100        1        1    0.005   0.009   0.022   0.024   0.003   0.005   0.009  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 20     1000        1        1    0.004   0.005   0.017   0.146   0.005   0.004   0.005  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 19      100        1        1    0.007   0.018   0.121   0.172   0.017   0.007   0.018  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 22     1000        1        1    0.007   0.009   0.020   0.081   0.003   0.007   0.009  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
