resultsFileName : 2016-01-28_linux_v1.0.6_node-v6.0.0-pre_v100to1k_1453990070701.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 15      100      100      100   51.498  74.351 193.804 211.361  21.065   0.005   0.007 100.000   1.000   filter_k100to100_m100_v100to100                                            
 23      100      100       10    5.124   7.194   8.531   8.954   0.882   0.005   0.007  54.000   0.540   filter_k10to100_m50_v100to100                                              
 30     1000     1000       11   59.238  65.498  68.148 335.155  13.917   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 25     1000      100        1    1.196   1.624   3.326   5.756   0.442   0.012   0.016  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 27     1000     1000        1   13.215  17.149  18.535  23.506   2.166   0.013   0.017 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  4      100      100        1    0.708   1.505   3.260   3.674   0.415   0.007   0.015  56.000   0.560   filter_k1to100_m50_v100to100                                               
 28     1000     1000        1    8.169   9.791  14.845 111.902   3.568   0.008   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 29      100      100        1    0.601   0.865   2.166   2.335   0.240   0.006   0.009  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 20     1000     1000        1    5.830   7.603   8.099   9.941   0.761   0.006   0.008  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  6      100      100        1    0.428   0.461   1.709   1.787   0.206   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  5     1000     1000        1    4.148   5.161   5.446   6.948   0.424   0.004   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  1      100        1        1    0.129   0.383   1.593   2.137   0.215   0.129   0.383  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  7     1000        1        1    0.110   0.125   0.161   6.318   0.200   0.110   0.125  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  2      100        1        1    0.107   0.135   1.312   1.628   0.167   0.107   0.135  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 13     1000        1        1    0.095   0.109   0.122   0.658   0.020   0.095   0.109  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 10      100        1      100    0.767   0.839   1.858   2.470   0.171   0.008   0.008 100.000 100.000   match_k100to100_m100_v100to100                                             
 12     1000        1      100    0.781   1.577   2.711  70.176   2.247   0.008   0.016 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 34      100        1       10    0.093   0.114   0.140   0.150   0.012   0.009   0.011  54.000  54.000   match_k10to100_m50_v100to100                                               
  8     1000        1       11    0.095   0.116   0.188   2.341   0.101   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 16      100        1        1    0.015   0.029   0.047   0.050   0.006   0.015   0.029  56.000  56.000   match_k1to100_m50_v100to100                                                
 19     1000        1        1    0.016   0.028   0.033   0.067   0.005   0.016   0.028  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 11      100        1        1    0.006   0.015   0.028   0.034   0.003   0.006   0.015  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 33     1000        1        1    0.006   0.008   0.020   0.031   0.003   0.006   0.008  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 24      100        1        1    0.006   0.019   0.036   0.039   0.005   0.006   0.019  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  9     1000        1        1    0.006   0.006   0.018   0.098   0.003   0.006   0.006  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 32      100        1        1    0.005   0.009   0.018   0.019   0.002   0.005   0.009  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 17     1000        1        1    0.005   0.007   0.020   0.046   0.003   0.005   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  3      100        1        1    0.015   0.046   2.114   2.996   0.302   0.015   0.046  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 22     1000        1        1    0.008   0.010   0.022   0.029   0.002   0.008   0.010  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  0      100        1        1    0.034   0.180   1.323   1.620   0.185   0.034   0.180  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 31     1000        1        1    0.024   0.040   0.044   4.793   0.152   0.024   0.040  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 18      100        1        1    0.010   0.025   0.034   0.034   0.005   0.010   0.025  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 21     1000        1        1    0.010   0.013   0.024   0.196   0.006   0.010   0.013  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 26      100        1        1    0.014   0.027   0.045   0.049   0.006   0.014   0.027  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 14     1000        1        1    0.014   0.016   0.025   0.589   0.019   0.014   0.016  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
