resultsFileName : 2016-01-28_linux_v1.0.6_node-v6.0.0-pre_v100to1k_1453990179012.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 20      100      100      100   53.070  54.923  58.370  59.855   1.279   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 18      100      100       10    5.248   6.396   7.659   7.792   0.566   0.005   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
 34     1000     1000       11   60.349  69.858 115.250 158.285  10.099   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 17     1000      100        1    1.147   1.572   2.271   4.383   0.297   0.011   0.016  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  9     1000     1000        1   12.735  17.013  20.025  37.085   2.458   0.013   0.017 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 16      100      100        1    0.697   0.851   2.988   3.297   0.344   0.007   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
 21     1000     1000        1    8.348   9.909  10.616 125.437   3.906   0.008   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 22      100      100        1    0.583   0.930   2.234   2.384   0.259   0.006   0.009  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  0     1000     1000        1    5.165   6.163   6.913  13.938   0.536   0.005   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 33      100      100        1    0.422   0.575   3.126   3.497   0.394   0.004   0.006  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  8     1000     1000        1    4.379   5.338   5.563   6.877   0.398   0.004   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 30      100        1        1    0.116   0.175   0.577   0.743   0.068   0.116   0.175  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 31     1000        1        1    0.117   0.147   0.210   8.380   0.262   0.117   0.147  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 29      100        1        1    0.098   0.125   0.170   0.186   0.013   0.098   0.125  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 11     1000        1        1    0.100   0.128   0.214   1.650   0.080   0.100   0.128  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  1      100        1      100    0.790   0.879   3.490   3.933   0.414   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 23     1000        1      100    0.806   0.917   3.239  10.485   0.499   0.008   0.009 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  4      100        1       10    0.094   0.117   0.133   0.139   0.013   0.009   0.012  54.000  54.000   match_k10to100_m50_v100to100                                               
  3     1000        1       11    0.096   0.123   0.158   4.776   0.204   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 13      100        1        1    0.014   0.028   0.044   0.051   0.006   0.014   0.028  56.000  56.000   match_k1to100_m50_v100to100                                                
  5     1000        1        1    0.015   0.028   0.031   0.048   0.005   0.015   0.028  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 24      100        1        1    0.006   0.019   0.025   0.025   0.004   0.006   0.019  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 32     1000        1        1    0.006   0.008   0.018   0.110   0.004   0.006   0.008  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  6      100        1        1    0.006   0.018   0.034   0.043   0.005   0.006   0.018  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  7     1000        1        1    0.006   0.008   0.018   0.027   0.002   0.006   0.008  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 26      100        1        1    0.006   0.022   0.140   0.200   0.020   0.006   0.022  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 27     1000        1        1    0.006   0.007   0.019   0.038   0.002   0.006   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 19      100        1        1    0.018   0.044   0.058   0.062   0.012   0.018   0.044  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 25     1000        1        1    0.014   0.039   0.045   0.139   0.011   0.014   0.039  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 14      100        1        1    0.024   0.042   0.071   0.076   0.012   0.024   0.042  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 12     1000        1        1    0.025   0.041   0.049   3.050   0.097   0.025   0.041  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 10      100        1        1    0.010   0.024   0.036   0.041   0.005   0.010   0.024  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 15     1000        1        1    0.010   0.023   0.025   0.084   0.004   0.010   0.023  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 28      100        1        1    0.014   0.026   0.192   0.265   0.026   0.014   0.026  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  2     1000        1        1    0.013   0.027   0.029   0.892   0.034   0.013   0.027  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
