resultsFileName : 2016-01-28_linux_v1.0.6_node-v0.12.7_v100to1k_1454016741185.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  4      100      100      100   34.223  36.054  45.305  50.651   2.023   0.003   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 12      100      100       10    3.493   9.269  11.649  11.815   2.198   0.003   0.009  54.000   0.540   filter_k10to100_m50_v100to100                                              
  7     1000     1000       11   39.664  45.637  51.457 225.250   8.779   0.004   0.004  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  1     1000      100        1    0.619   0.937   1.383   2.526   0.188   0.006   0.009  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  9     1000     1000        1    7.053  13.501  14.948  19.960   2.862   0.007   0.014 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 21      100      100        1    0.444   0.551   6.363   6.786   0.872   0.004   0.006  56.000   0.560   filter_k1to100_m50_v100to100                                               
 26     1000     1000        1    4.227   9.095  10.071  21.725   1.892   0.004   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  5      100      100        1    0.357   1.017   1.822   1.974   0.266   0.004   0.010  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 24     1000     1000        1    3.457   8.238   9.273  10.283   1.773   0.003   0.008  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 14      100      100        1    0.281   0.331   6.341   7.849   0.876   0.003   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 34     1000     1000        1    2.674   7.088   8.216   8.841   1.702   0.003   0.007  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  2      100        1        1    0.027   0.041   0.385   0.501   0.050   0.027   0.041  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 15     1000        1        1    0.026   0.037   0.049  15.249   0.483   0.026   0.037  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 20      100        1        1    0.019   0.030   0.054   0.054   0.005   0.019   0.030  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  0     1000        1        1    0.018   0.023   0.156   1.910   0.098   0.018   0.023  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 29      100        1      100    0.557   0.610   3.864   5.775   0.521   0.006   0.006 100.000 100.000   match_k100to100_m100_v100to100                                             
 23     1000        1      100    0.551   0.634   5.225   5.804   0.665   0.006   0.006 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 11      100        1       10    0.064   0.080   0.086   0.087   0.008   0.006   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
 27     1000        1       11    0.062   0.074   0.085  16.496   0.574   0.006   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  8      100        1        1    0.008   0.012   0.021   0.025   0.002   0.008   0.012  56.000  56.000   match_k1to100_m50_v100to100                                                
 13     1000        1        1    0.008   0.013   0.018   0.034   0.002   0.008   0.013  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 25      100        1        1    0.003   0.004   0.014   0.016   0.002   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 10     1000        1        1    0.004   0.005   0.006   0.645   0.020   0.004   0.005  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 32      100        1        1    0.003   0.004   0.008   0.010   0.001   0.003   0.004  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 18     1000        1        1    0.003   0.004   0.005   4.392   0.139   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 28      100        1        1    0.003   0.004   0.016   0.017   0.002   0.003   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 17     1000        1        1    0.003   0.004   0.005   0.056   0.002   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 22      100        1        1    0.008   0.032   1.152   1.826   0.181   0.008   0.032  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 33     1000        1        1    0.005   0.006   0.008   0.017   0.001   0.005   0.006  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 16      100        1        1    0.017   0.024   6.110   9.772   0.971   0.017   0.024  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  3     1000        1        1    0.016   0.023   0.047   0.751   0.033   0.016   0.023  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 30      100        1        1    0.005   0.007   0.019   0.027   0.002   0.005   0.007  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  6     1000        1        1    0.005   0.006   0.017   1.805   0.057   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 31      100        1        1    0.007   0.007   0.018   0.022   0.002   0.007   0.007  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 19     1000        1        1    0.007   0.008   0.017   0.176   0.006   0.007   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
