resultsFileName : 2016-01-16_linux_v1.0.4_node-v0.12.7_all_1452957601633.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  7      100      100      100  200.938 248.384 260.270 263.525  22.513   0.020   0.025 100.000   1.000   filter_k100to100_m100_v100to100                                            
 14      100      100       11   12.734  78.577  80.442  80.636  28.476   0.012   0.071  54.000   0.540   filter_k10to100_m50_v100to100                                              
 15     1000     1000       11  323.560 438.664 486.182 837.308  67.231   0.029   0.040  52.000   0.052   filter_k10to100_m50_v1kto1k                                                
 20     1000      100        1    1.925   2.176  87.805  88.505  15.661   0.019   0.022  79.800   2.155   filter_k1to100_charDotStar_v1kto100                                        
 37     1000    10000        1  428.755 538.649 592.654 524.673  91.861   0.043   0.054 100.000   2.141   filter_k1to100_charDotStar_v1kto10k                                        
  9     1000     1000        1   18.910  87.428  91.203 147.371  29.797   0.019   0.087 100.000   2.144   filter_k1to100_charDotStar_v1kto1k                                         
 23      100      100        1    1.435   1.623 133.403 134.149  22.363   0.014   0.016  54.000   0.540   filter_k1to100_m50_v100to100                                               
 21     1000     1000        1   14.642 136.916 145.478 196.669  51.256   0.015   0.137  53.300   0.053   filter_k1to100_m50_v1kto1k                                                 
 35      100      100        1    1.455   2.244  59.877  59.918  11.365   0.015   0.022  59.000   5.420   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 41     1000     1000        1   16.361  56.234  61.510  63.358  13.654   0.016   0.056  49.400   5.240   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 10      100      100        1    1.081   1.384  74.435  75.026  12.411   0.011   0.014  49.000   0.490   filter_k1to1_pWord_tWord_m50_v100to100                                     
  5     1000     1000        1   11.288  33.754  37.121  37.806   7.789   0.011   0.034  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 30      100        1        1    0.053   0.073   0.147   0.187   0.016   0.053   0.073  54.000  54.000   matchSimple_k1to100_m50_v100to100                                          
