resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453560985618.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 15      100      100      100   57.022  60.300  62.159  63.121   1.613   0.006   0.006 100.000   1.000   filter_k100to100_m100_v100to100                                            
  2      100      100       10    8.564  14.714  45.577  62.396   6.286   0.009   0.015  54.000   0.540   filter_k10to100_m50_v100to100                                              
 11     1000     1000       11   60.585  66.590  69.814  84.660   3.685   0.006   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  5     1000      100        1    0.998   1.381   2.095   2.759   0.241   0.010   0.014  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 16     1000     1000        1    9.905  12.917  14.283  73.748   2.657   0.010   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 34      100      100        1    0.651   0.879   2.723   3.197   0.312   0.007   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
 10     1000     1000        1    7.509   9.098   9.927  13.851   0.910   0.008   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  9      100      100        1    0.618   0.803   2.256   2.683   0.256   0.006   0.008  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 12     1000     1000        1    5.844  10.012  10.418  10.864   1.726   0.006   0.010  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 13      100      100        1    0.397   0.502   3.990   4.011   0.503   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 22     1000     1000        1    3.766   5.243   6.657  13.473   0.704   0.004   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.032   0.050   0.099   0.125   0.011   0.032   0.050  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  0     1000        1        1    0.119   0.229   0.446   6.468   0.241   0.119   0.229  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 33      100        1        1    0.089   0.130   0.194   0.209   0.020   0.089   0.130  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  3     1000        1        1    0.016   0.030   0.035   1.196   0.051   0.016   0.030  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 26      100        1      100    0.817   0.920   4.746   4.928   0.573   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 23     1000        1      100    0.813   2.154   2.648  59.103   1.878   0.008   0.022 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 29      100        1       10    0.097   0.134   0.205   0.244   0.020   0.010   0.013  54.000  54.000   match_k10to100_m50_v100to100                                               
 27     1000        1       11    0.098   0.123   0.149   6.940   0.245   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  1      100        1        1    0.020   0.111   0.151   0.158   0.030   0.020   0.111  56.000  56.000   match_k1to100_m50_v100to100                                                
 24     1000        1        1    0.017   0.025   0.033   0.616   0.020   0.017   0.025  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 18      100        1        1    0.007   0.008   0.018   0.023   0.002   0.007   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  7     1000        1        1    0.007   0.008   0.020   0.108   0.004   0.007   0.008  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 28      100        1        1    0.006   0.012   0.020   0.020   0.002   0.006   0.012  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 32     1000        1        1    0.006   0.007   0.020   1.262   0.040   0.006   0.007  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  8      100        1        1    0.006   0.013   1.217   1.943   0.193   0.006   0.013  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 21     1000        1        1    0.007   0.007   0.015   0.112   0.005   0.007   0.007  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  4      100        1        1    0.015   0.052   0.429   0.552   0.060   0.015   0.052  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 31     1000        1        1    0.014   0.040   0.057   2.248   0.072   0.014   0.040  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 30      100        1        1    0.026   0.039   0.076   0.095   0.012   0.026   0.039  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 25     1000        1        1    0.027   0.035   0.047   4.114   0.130   0.027   0.035  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 19      100        1        1    0.011   0.013   0.028   0.037   0.003   0.011   0.013  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 17     1000        1        1    0.011   0.013   0.021   0.674   0.022   0.011   0.013  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 14      100        1        1    0.015   0.019   0.152   0.227   0.021   0.015   0.019  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 20     1000        1        1    0.010   0.012   0.017   1.547   0.049   0.010   0.012  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
