resultsFileName : 2016-02-08_linux_v1.0.6_node-v5.4.1_v100to1k_1454969185257.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  0     1000     1000        1    0.266   0.623   0.981   8.528   0.353   0.000   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k1d_v1kto1k                                   
 27     1000     1000        1    0.500   0.854   1.715  68.924   2.225   0.000   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k4d_v1kto1k                                   
 38      100      100      100   51.686  53.754  55.387  55.409   1.593   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
  7      100      100       10    5.055   6.173   7.310   7.600   0.605   0.005   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
 12     1000     1000       11   55.512  62.359  84.677 180.035   8.871   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 16     1000      100        1    0.889   1.281   5.320   6.677   0.710   0.009   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 34     1000     1000        1    9.290  12.872  23.811  40.722   2.935   0.009   0.013 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 23     1000     1000        1    3.899   4.835   5.167  14.647   0.546   0.004   0.005 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
  4     1000     1000        1    6.057   6.913   7.341  36.994   1.161   0.006   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  8      100      100        1    0.632   0.856   2.251   2.345   0.253   0.006   0.009  56.000   0.560   filter_k1to100_m50_v100to100                                               
  1     1000     1000        1    6.991   8.649   9.537  14.602   0.894   0.007   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  3      100      100        1    0.609   1.205   1.532   1.653   0.189   0.006   0.012  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 19     1000     1000        1    5.415   6.797   7.371   7.972   0.586   0.005   0.007  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
