resultsFileName : 2016-01-28_linux_v1.0.6_node-v5.4.1_v100to1k_1453989901793.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 19      100      100      100   42.578  44.500  46.310  46.656   1.316   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 20      100      100       10    4.055   6.651   7.844   8.082   1.030   0.004   0.007  54.000   0.540   filter_k10to100_m50_v100to100                                              
  6     1000     1000       11   47.603  53.559  56.580  63.569   3.273   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  1     1000      100        1    0.736   5.038  10.236  21.603   1.960   0.007   0.050  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 15     1000     1000        1    8.528  12.038  13.549  16.118   2.072   0.009   0.012 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  2      100      100        1    0.502   0.834   1.968   2.090   0.220   0.005   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
  8     1000     1000        1    6.197  10.903  12.774  21.132   1.969   0.006   0.011  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 18      100      100        1    0.385   0.435   2.463   2.766   0.313   0.004   0.004  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 11     1000     1000        1    3.676   6.091  10.291  17.746   1.327   0.004   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 27      100      100        1    0.299   0.339   1.547   1.825   0.183   0.003   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 24     1000     1000        1    2.971   5.166   5.610   7.781   0.892   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 23      100        1        1    0.060   0.085   2.635   4.144   0.406   0.060   0.085  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 25     1000        1        1    0.059   0.076   0.097   0.198   0.012   0.059   0.076  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 21      100        1        1    0.047   0.076   0.178   0.206   0.020   0.047   0.076  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 13     1000        1        1    0.047   0.059   0.081   1.058   0.044   0.047   0.059  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 22      100        1      100    0.599   0.645   3.573   5.345   0.472   0.006   0.006 100.000 100.000   match_k100to100_m100_v100to100                                             
  9     1000        1      100    0.618   0.669   2.315  10.364   0.404   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 14      100        1       10    0.069   0.088   0.165   0.208   0.016   0.007   0.009  54.000  54.000   match_k10to100_m50_v100to100                                               
 26     1000        1       11    0.067   0.087   0.104   2.527   0.082   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 29      100        1        1    0.008   0.013   0.021   0.021   0.003   0.008   0.013  56.000  56.000   match_k1to100_m50_v100to100                                                
 30     1000        1        1    0.011   0.094   0.115   9.038   0.286   0.011   0.094  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.003   0.005   0.977   1.492   0.149   0.003   0.005  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 16     1000        1        1    0.003   0.004   0.007   0.087   0.003   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  5      100        1        1    0.002   0.003   0.007   0.009   0.001   0.002   0.003  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  4     1000        1        1    0.002   0.003   0.009   0.622   0.020   0.002   0.003  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  3      100        1        1    0.002   0.003   0.307   0.488   0.048   0.002   0.003  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 10     1000        1        1    0.003   0.003   0.004   2.413   0.076   0.003   0.003  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 12      100        1        1    0.006   0.023   0.035   0.041   0.007   0.006   0.023  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 33     1000        1        1    0.007   0.022   0.033   0.479   0.019   0.007   0.022  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  7      100        1        1    0.014   0.024   0.052   0.062   0.009   0.014   0.024  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 32     1000        1        1    0.017   0.063   0.121   0.363   0.025   0.017   0.063  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
  0      100        1        1    0.007   0.109   1.115   1.349   0.161   0.007   0.109  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 31     1000        1        1    0.005   0.083   0.126   5.477   0.174   0.005   0.083  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 34      100        1        1    0.006   0.008   0.106   0.159   0.015   0.006   0.008  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 28     1000        1        1    0.007   0.008   0.019   1.408   0.045   0.007   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
