resultsFileName : 2016-01-23_linux_v1.0.6_node-v4.2.4_all_1453561090151.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 23      100      100      100   50.922  52.943  56.218  57.965   1.298   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 33      100      100       10    5.134   7.703   8.883   9.034   0.987   0.005   0.008  54.000   0.540   filter_k10to100_m50_v100to100                                              
 11     1000     1000       11   58.802  65.132  70.647 181.103   5.575   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 24     1000      100        1    1.164   1.653   3.333   4.592   0.426   0.012   0.017  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 32     1000     1000        1   13.237  17.430  19.513  22.519   2.282   0.013   0.017 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 28      100      100        1    0.689   0.784   4.864   5.450   0.609   0.007   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
 12     1000     1000        1    7.403   9.687  10.758  17.306   1.183   0.007   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  1      100      100        1    0.654   1.383   4.147   4.527   0.522   0.007   0.014  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 26     1000     1000        1    8.064  10.435  11.080  12.677   0.998   0.008   0.010  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 18      100      100        1    0.443   0.522   3.749   3.986   0.495   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 34     1000     1000        1    5.419   7.680   8.136   9.098   0.938   0.005   0.008  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 27      100        1        1    0.100   0.127   0.248   0.265   0.023   0.100   0.127  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 21     1000        1        1    0.107   0.216   0.259   8.812   0.278   0.107   0.216  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 31      100        1        1    0.087   0.119   0.453   0.621   0.054   0.087   0.119  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 14     1000        1        1    0.089   0.112   0.134   3.082   0.114   0.089   0.112  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  5      100        1      100    0.850   0.924   3.313   4.751   0.391   0.009   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
  4     1000        1      100    0.841   0.938   2.747   3.022   0.299   0.008   0.009 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  0      100        1       10    0.121   0.406   1.531   1.819   0.209   0.012   0.041  54.000  54.000   match_k10to100_m50_v100to100                                               
 22     1000        1       11    0.102   0.130   0.154   5.274   0.197   0.009   0.012  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  7      100        1        1    0.018   0.031   0.039   0.041   0.005   0.018   0.031  56.000  56.000   match_k1to100_m50_v100to100                                                
  9     1000        1        1    0.019   0.031   0.035   8.941   0.282   0.019   0.031  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.013   0.026   0.032   0.035   0.004   0.013   0.026  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  6     1000        1        1    0.013   0.026   0.028   0.038   0.004   0.013   0.026  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 15      100        1        1    0.013   0.019   0.038   0.047   0.004   0.013   0.019  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 13     1000        1        1    0.012   0.025   0.027   0.797   0.025   0.012   0.025  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  3      100        1        1    0.013   0.014   0.033   0.042   0.003   0.013   0.014  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 30     1000        1        1    0.012   0.018   0.026   0.048   0.003   0.012   0.018  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 25      100        1        1    0.020   0.050   0.056   0.058   0.011   0.020   0.050  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 20     1000        1        1    0.021   0.050   0.056   0.173   0.012   0.021   0.050  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 29      100        1        1    0.031   0.051   0.065   0.071   0.012   0.031   0.051  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
  2     1000        1        1    0.035   0.050   0.062   1.280   0.049   0.035   0.050  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 16      100        1        1    0.018   0.033   0.036   0.036   0.005   0.018   0.033  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  8     1000        1        1    0.019   0.032   0.036   3.812   0.120   0.019   0.032  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 10      100        1        1    0.018   0.023   0.169   0.254   0.024   0.018   0.023  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 19     1000        1        1    0.017   0.030   0.032   0.701   0.023   0.017   0.030  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
