resultsFileName : 2016-01-22_linux_v1.0.6_node-v4.2.4_all_1453429445300.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 43      100      100      100  138.493 175.888 376.025 491.928  37.921   0.014   0.018 100.000   1.000   filter_k100to100_m100_v100to100                                            
 15      100      100       10    8.866  15.567  16.299  16.666   2.602   0.009   0.016  54.000   0.540   filter_k10to100_m50_v100to100                                              
 21     1000     1000       11  151.487 176.013 209.419 611.266  35.501   0.014   0.016  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  4     1000      100        1    1.193   1.627  41.471  42.182   7.308   0.012   0.016  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  0     1000    10000        1  166.726 211.620 259.420 517.924  32.273   0.017   0.021 100.000   1.901   filter_k1to100_charDotStar_v1kto10k                                        
 40     1000     1000        1   14.052  78.696  84.336 145.293  28.445   0.014   0.079 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 17      100      100        1    0.965   1.176  10.388  10.626   1.527   0.010   0.012  56.000   0.560   filter_k1to100_m50_v100to100                                               
 31     1000     1000        1   12.151  41.164  43.861 640.932  22.286   0.012   0.041  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  6      100      100        1    0.822   0.953  42.380  42.485   8.097   0.008   0.010  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 27     1000     1000        1    8.513  37.759  40.453 381.108  16.134   0.009   0.038  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
  1      100      100        1    0.664   0.937  38.470  38.618   6.419   0.007   0.009  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 37     1000     1000        1    7.286  54.002  62.417 261.165  20.927   0.007   0.054  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 30      100        1        1    0.068   0.099   2.780   4.322   0.423   0.068   0.099  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 18    10000        1        1    0.067   0.077   0.116  11.869   0.216   0.067   0.077  50.020  50.020   matchSimple_k1to100_m50_v10kto10k                                          
 19     1000        1        1    0.067   0.077   0.111   9.471   0.298   0.067   0.077  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 36      100        1        1    0.056   0.089   0.479   0.684   0.063   0.056   0.089  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 11    10000        1        1    0.018   0.066   0.136 115.087   1.167   0.018   0.066  50.630  50.630   matchSimple_k1to1_pWord_tWord_m50_v10kto10k                                
 42     1000        1        1    0.056   0.063   0.087   0.669   0.024   0.056   0.063  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  3      100        1      100    0.998   1.261   5.245   6.733   0.623   0.010   0.013 100.000 100.000   match_k100to100_m100_v100to100                                             
 28    10000        1      100    1.067   1.423   9.426 871.040  12.214   0.011   0.014 100.000 100.000   match_k100to100_m100_v10kto10k                                             
 20     1000        1      100    1.089   2.384   8.007 431.715  13.660   0.011   0.024 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 34      100        1       10    0.115   0.133   0.149   0.152   0.009   0.011   0.013  54.000  54.000   match_k10to100_m50_v100to100                                               
 24    10000        1       10    0.120   0.138   0.154   5.509   0.273   0.012   0.014  49.910  49.910   match_k10to100_m50_v10kto10k                                               
 33     1000        1       11    0.121   0.136   0.149   7.305   0.370   0.011   0.012  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 41      100        1        1    0.016   0.019   0.032   0.039   0.003   0.016   0.019  56.000  56.000   match_k1to100_m50_v100to100                                                
 12    10000        1        1    0.018   0.023   0.028   8.489   0.108   0.018   0.023  50.020  50.020   match_k1to100_m50_v10kto10k                                                
 39     1000        1        1    0.017   0.021   0.025   0.628   0.020   0.017   0.021  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 22      100        1        1    0.008   0.010   0.080   0.119   0.011   0.008   0.010  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 45     1000        1        1    0.008   0.010   0.012   0.046   0.002   0.008   0.010  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 13      100        1        1    0.010   0.014   0.022   0.026   0.002   0.010   0.014  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  7   100000        1        1    0.008   0.009   0.011  10.504   0.144   0.008   0.009  50.153  50.153   match_k1to1_pString_tString_m50_v10kto10k                                  
 26     1000        1        1    0.011   0.013   0.023   0.036   0.002   0.011   0.013  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  9      100        1        1    0.008   0.011   0.036   0.042   0.004   0.008   0.011  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 14    10000        1        1    0.010   0.012   0.015   5.743   0.093   0.010   0.012  50.630  50.630   match_k1to1_pWord_tWord_m50_v10kto10k                                      
  8     1000        1        1    0.008   0.009   0.011   0.038   0.002   0.008   0.009  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 32      100        1        1    0.027   0.094   0.501   0.719   0.074   0.027   0.094  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  2    10000        1        1    0.014   0.031   0.044   6.410   0.129   0.014   0.031  49.820  49.820   regMatch_k1to1_pRegDotStar_tWord_m50_v10kto10k                             
 35     1000        1        1    0.015   0.044   0.090   3.895   0.123   0.015   0.044  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 29      100        1        1    0.028   0.038   0.113   0.156   0.015   0.028   0.038  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 44    10000        1        1    0.018   0.030   0.034   5.716   0.114   0.018   0.030  42.020  42.020   regMatch_k1to1_pRegDot_tWord_m50_v10kto10k                                 
 25     1000        1        1    0.028   0.037   0.052   0.196   0.010   0.028   0.037  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 38      100        1        1    0.011   0.017   0.042   0.048   0.004   0.011   0.017  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 16    10000        1        1    0.014   0.017   0.022   7.537   0.132   0.014   0.017  50.350  50.350   regMatch_k1to1_pRegMidStr_tWord_m50_v10kto10k                              
 46     1000        1        1    0.011   0.012   0.015   0.044   0.002   0.011   0.012  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 23      100        1        1    0.011   0.018   0.449   0.551   0.060   0.011   0.018  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 10    10000        1        1    0.058   0.065   0.126  16.578   0.357   0.058   0.065   0.000      -    regMatch_k1to1_pRegPhone_tPhone_m50_v10kto10k                              
  5     1000        1        1    0.014   0.015   0.021   0.203   0.007   0.014   0.015  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
