resultsFileName : 2016-01-28_linux_v1.0.6_node-v6.0.0-pre_v100to1k_1453990287849.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  9      100      100      100   57.884  61.352  84.318  94.095   5.682   0.006   0.006 100.000   1.000   filter_k100to100_m100_v100to100                                            
 15      100      100       10    5.324  13.164  15.077  15.197   2.184   0.005   0.013  54.000   0.540   filter_k10to100_m50_v100to100                                              
 17     1000     1000       11   66.871  73.737  78.524 300.047  12.703   0.006   0.007  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 29     1000      100        1    1.151   1.739   9.249  10.704   1.076   0.012   0.017  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 34     1000     1000        1   12.913  22.188  24.651  26.564   3.646   0.013   0.022 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 27      100      100        1    0.709   1.574   7.189   8.920   0.955   0.007   0.016  56.000   0.560   filter_k1to100_m50_v100to100                                               
 19     1000     1000        1    8.554  19.876  49.455 104.615   7.562   0.009   0.020  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 33      100      100        1    0.589   0.705   6.575   8.802   0.868   0.006   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  7     1000     1000        1    5.472  13.433  14.439  17.044   2.071   0.005   0.013  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 32      100      100        1    0.464   0.514   6.423   8.646   0.857   0.005   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  1     1000     1000        1    4.123  10.903  12.982  13.908   1.849   0.004   0.011  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 23      100        1        1    0.113   0.142   0.221   0.234   0.021   0.113   0.142  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 28     1000        1        1    0.108   0.129   0.191   8.555   0.452   0.108   0.129  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  0      100        1        1    0.030   0.269   1.808   2.340   0.252   0.030   0.269  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
  2     1000        1        1    0.021   0.034   0.070   1.558   0.066   0.021   0.034  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 25      100        1      100    0.773   0.859   7.571   9.109   1.025   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 24     1000        1      100    0.783   1.641   8.941  95.119   3.202   0.008   0.016 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  8      100        1       10    0.091   0.155   0.404   0.411   0.049   0.009   0.016  54.000  54.000   match_k10to100_m50_v100to100                                               
 31     1000        1       11    0.093   0.120   0.201   8.314   0.437   0.008   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 13      100        1        1    0.015   0.028   1.830   2.922   0.289   0.015   0.028  56.000  56.000   match_k1to100_m50_v100to100                                                
 16     1000        1        1    0.015   0.103   0.136  11.337   0.359   0.015   0.103  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 11      100        1        1    0.005   0.020   0.400   0.631   0.062   0.005   0.020  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  3     1000        1        1    0.005   0.014   0.019   0.515   0.017   0.005   0.014  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
  5      100        1        1    0.005   0.010   0.020   0.021   0.003   0.005   0.010  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 12     1000        1        1    0.005   0.006   0.019   0.047   0.003   0.005   0.006  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 10      100        1        1    0.005   0.007   0.023   0.027   0.002   0.005   0.007  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  4     1000        1        1    0.005   0.006   0.019   1.313   0.041   0.005   0.006  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 20      100        1        1    0.014   0.048   0.375   0.569   0.056   0.014   0.048  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  6     1000        1        1    0.014   0.043   0.058   8.239   0.260   0.014   0.043  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 26      100        1        1    0.022   0.046   0.378   0.558   0.055   0.022   0.046  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 14     1000        1        1    0.025   0.042   0.055   8.181   0.258   0.025   0.042  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 21      100        1        1    0.010   0.022   0.032   0.037   0.004   0.010   0.022  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 30     1000        1        1    0.009   0.022   0.024   1.894   0.060   0.009   0.022  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 18      100        1        1    0.014   0.029   0.158   0.223   0.021   0.014   0.029  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 22     1000        1        1    0.013   0.027   0.035   0.121   0.007   0.013   0.027  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
