resultsFileName : 2016-01-28_linux_v1.0.6_node-v0.12.7_v100to1k_1454016611344.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 13      100      100      100   33.964  35.767  37.881  38.998   1.186   0.003   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
  1      100      100       10    3.471   4.597   5.989   6.542   0.549   0.003   0.005  54.000   0.540   filter_k10to100_m50_v100to100                                              
 34     1000     1000       11   39.814  45.682  54.560 195.515   8.833   0.004   0.004  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 14     1000      100        1    0.735   1.217   2.899   4.693   0.399   0.007   0.012  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 15     1000     1000        1    8.433  12.120  14.713  19.765   2.253   0.008   0.012 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 11      100      100        1    0.425   0.527   3.624   3.926   0.463   0.004   0.005  56.000   0.560   filter_k1to100_m50_v100to100                                               
 31     1000     1000        1    4.150   6.137   6.841  16.842   0.946   0.004   0.006  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 10      100      100        1    0.385   1.070   3.111   3.710   0.415   0.004   0.011  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 20     1000     1000        1    3.930   5.620   6.100   7.536   0.716   0.004   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 30      100      100        1    0.308   0.356   2.330   2.448   0.308   0.003   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  6     1000     1000        1    3.059   4.186   4.466   5.045   0.472   0.003   0.004  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  0      100        1        1    0.028   0.189   1.182   1.491   0.165   0.028   0.189  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 27     1000        1        1    0.026   0.036   0.044  11.346   0.494   0.026   0.036  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
  7      100        1        1    0.021   0.033   0.577   0.682   0.076   0.021   0.033  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 25     1000        1        1    0.020   0.031   0.034   0.096   0.004   0.020   0.031  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  2      100        1      100    0.520   0.573   1.919   1.953   0.196   0.005   0.006 100.000 100.000   match_k100to100_m100_v100to100                                             
  3     1000        1      100    0.531   0.643   1.912   2.254   0.207   0.005   0.006 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 23      100        1       10    0.063   0.081   0.171   0.215   0.017   0.006   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
  5     1000        1       11    0.064   0.080   0.089   7.976   0.252   0.006   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  8      100        1        1    0.008   0.013   0.021   0.023   0.003   0.008   0.013  56.000  56.000   match_k1to100_m50_v100to100                                                
 28     1000        1        1    0.008   0.013   0.016   0.048   0.003   0.008   0.013  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 18      100        1        1    0.005   0.006   0.022   0.027   0.002   0.005   0.006  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 16     1000        1        1    0.005   0.006   0.009   0.018   0.001   0.005   0.006  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 29      100        1        1    0.005   0.006   0.014   0.017   0.001   0.005   0.006  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 21     1000        1        1    0.005   0.006   0.008   0.089   0.003   0.005   0.006  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 33      100        1        1    0.005   0.006   0.026   0.033   0.003   0.005   0.006  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 17     1000        1        1    0.005   0.006   0.015   0.021   0.001   0.005   0.006  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  9      100        1        1    0.010   0.039   0.182   0.209   0.025   0.010   0.039  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 26     1000        1        1    0.007   0.008   0.011   0.026   0.001   0.007   0.008  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
  4      100        1        1    0.015   0.029   0.114   0.133   0.015   0.015   0.029  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 22     1000        1        1    0.019   0.026   0.035   0.094   0.008   0.019   0.026  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 12      100        1        1    0.007   0.009   0.019   0.023   0.002   0.007   0.009  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 24     1000        1        1    0.007   0.009   0.019   0.069   0.003   0.007   0.009  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 19      100        1        1    0.007   0.008   0.121   0.183   0.018   0.007   0.008  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 32     1000        1        1    0.007   0.008   0.013   2.274   0.072   0.007   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
