resultsFileName : 2016-01-28_linux_v1.0.6_node-v0.12.7_v100to1k_1454016874319.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
  4      100      100      100   33.778  35.208  36.067  36.371   1.083   0.003   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
 10      100      100       10    3.637   4.899   6.316   6.508   0.576   0.004   0.005  54.000   0.540   filter_k10to100_m50_v100to100                                              
 12     1000     1000       11   39.505  45.332  48.482  77.739   3.636   0.004   0.004  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  0     1000      100        1    0.620   0.979   1.284   4.089   0.235   0.006   0.010  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  3     1000     1000        1    6.399   8.742   9.553  15.778   1.303   0.006   0.009 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 16      100      100        1    0.439   0.555   5.944   5.988   0.834   0.004   0.006  56.000   0.560   filter_k1to100_m50_v100to100                                               
 33     1000     1000        1    4.180   8.716   9.546  18.331   1.807   0.004   0.009  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 32      100      100        1    0.357   0.416   4.008   4.134   0.566   0.004   0.004  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 25     1000     1000        1    3.340   7.460   8.111  10.602   1.640   0.003   0.007  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 29      100      100        1    0.279   0.328   5.543   5.997   0.840   0.003   0.003  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  7     1000     1000        1    2.704   3.787   4.006   5.671   0.451   0.003   0.004  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  1      100        1        1    0.027   0.036   0.402   0.480   0.051   0.027   0.036  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 23     1000        1        1    0.026   0.035   0.041   0.094   0.005   0.026   0.035  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 30      100        1        1    0.018   0.023   0.057   0.062   0.006   0.018   0.023  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 20     1000        1        1    0.018   0.025   0.033   1.642   0.076   0.018   0.025  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 26      100        1      100    0.563   0.627   6.734   7.459   0.843   0.006   0.006 100.000 100.000   match_k100to100_m100_v100to100                                             
 31     1000        1      100    0.547   0.631   4.866  12.317   0.701   0.005   0.006 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 28      100        1       10    0.060   0.076   0.085   0.085   0.008   0.006   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
  5     1000        1       11    0.063   0.079   0.098   2.288   0.097   0.006   0.007  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  6      100        1        1    0.008   0.012   0.019   0.023   0.002   0.008   0.012  56.000  56.000   match_k1to100_m50_v100to100                                                
 21     1000        1        1    0.008   0.013   0.020  17.173   0.543   0.008   0.013  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 14      100        1        1    0.003   0.004   0.008   0.009   0.001   0.003   0.004  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 13     1000        1        1    0.003   0.004   0.015   4.211   0.133   0.003   0.004  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 27      100        1        1    0.003   0.006   0.016   0.018   0.002   0.003   0.006  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 11     1000        1        1    0.003   0.004   0.011   0.033   0.002   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  8      100        1        1    0.003   0.004   0.025   0.034   0.003   0.003   0.004  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 22     1000        1        1    0.003   0.004   0.007   0.083   0.003   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 17      100        1        1    0.007   0.025   0.876   1.369   0.135   0.007   0.025  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  2     1000        1        1    0.008   0.024   0.046   0.628   0.036   0.008   0.024  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 19      100        1        1    0.016   0.028   2.325   3.710   0.368   0.016   0.028  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 15     1000        1        1    0.017   0.021   0.027   0.172   0.009   0.017   0.021  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 18      100        1        1    0.006   0.014   0.029   0.035   0.004   0.006   0.014  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  9     1000        1        1    0.005   0.006   0.017   0.804   0.025   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 24      100        1        1    0.007   0.009   0.129   0.199   0.019   0.007   0.009  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 34     1000        1        1    0.007   0.008   0.010   4.674   0.147   0.007   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
