resultsFileName : 2016-01-28_linux_v1.0.6_node-v6.0.0-pre_v100to1k_1453989966972.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 22      100      100      100   50.037  52.423  57.393  59.180   1.479   0.005   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 30      100      100       10    5.041   9.764  11.291  12.028   1.927   0.005   0.010  54.000   0.540   filter_k10to100_m50_v100to100                                              
 25     1000     1000       11   60.331  66.940  74.045 129.300   5.938   0.005   0.006  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 10     1000      100        1    1.113   1.518   2.526   4.626   0.337   0.011   0.015  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  4     1000     1000        1    9.018  11.391  12.471  13.278   1.438   0.009   0.011 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 27      100      100        1    0.700   0.840   6.915   7.523   0.854   0.007   0.008  56.000   0.560   filter_k1to100_m50_v100to100                                               
 21     1000     1000        1    8.060   9.756  10.480  15.440   0.966   0.008   0.010  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  2      100      100        1    0.553   1.069   2.613   3.300   0.322   0.006   0.011  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  3     1000     1000        1    5.161   6.264   6.805   8.530   0.497   0.005   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 17      100      100        1    0.426   0.524   2.200   2.502   0.286   0.004   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 29     1000     1000        1    4.254   8.955   9.214   9.944   1.956   0.004   0.009  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
  6      100        1        1    0.115   0.155   0.205   0.218   0.018   0.115   0.155  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
  5     1000        1        1    0.115   0.146   0.221   6.906   0.222   0.115   0.146  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 31      100        1        1    0.095   0.115   0.167   0.183   0.011   0.095   0.115  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 34     1000        1        1    0.095   0.107   0.129   7.297   0.229   0.095   0.107  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
  7      100        1      100    0.778   0.890   2.458   3.078   0.243   0.008   0.009 100.000 100.000   match_k100to100_m100_v100to100                                             
 13     1000        1      100    0.784   2.035   2.894  76.094   2.427   0.008   0.020 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 23      100        1       10    0.088   0.113   0.152   0.159   0.013   0.009   0.011  54.000  54.000   match_k10to100_m50_v100to100                                               
  8     1000        1       11    0.094   0.124   0.163   6.730   0.232   0.009   0.011  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 32      100        1        1    0.014   0.018   0.031   0.031   0.003   0.014   0.018  56.000  56.000   match_k1to100_m50_v100to100                                                
 18     1000        1        1    0.015   0.020   0.030   0.044   0.003   0.015   0.020  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 14      100        1        1    0.006   0.007   0.021   0.022   0.002   0.006   0.007  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 33     1000        1        1    0.006   0.007   0.012   6.975   0.220   0.006   0.007  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 26      100        1        1    0.005   0.007   0.023   0.027   0.002   0.005   0.007  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  1     1000        1        1    0.007   0.010   0.021   1.723   0.062   0.007   0.010  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 15      100        1        1    0.006   0.014   0.407   0.637   0.063   0.006   0.014  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 12     1000        1        1    0.005   0.006   0.013   1.903   0.060   0.005   0.006  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
  0      100        1        1    0.031   0.266   4.068   5.568   0.579   0.031   0.266  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 24     1000        1        1    0.014   0.036   0.045   4.267   0.135   0.014   0.036  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 16      100        1        1    0.025   0.041   0.058   0.066   0.011   0.025   0.041  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 11     1000        1        1    0.026   0.035   0.045   0.236   0.013   0.026   0.035  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 28      100        1        1    0.011   0.020   0.040   0.042   0.005   0.011   0.020  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 19     1000        1        1    0.010   0.011   0.019   6.622   0.209   0.010   0.011  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 20      100        1        1    0.014   0.020   0.143   0.200   0.019   0.014   0.020  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
  9     1000        1        1    0.014   0.027   0.033   2.757   0.087   0.014   0.027  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
