resultsFileName : 2016-02-08_linux_v1.0.6_node-v4.2.4_v100to1k_1454969111635.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 33     1000     1000        1    0.407   0.448   0.833   3.202   0.114   0.000   0.000 100.000   0.100   filterAsync_k1to100_fixedKey_k1d_v1kto1k                                   
 31     1000     1000        1    1.367   1.441   1.845   3.813   0.147   0.001   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k4d_v1kto1k                                   
 20      100      100      100   43.794  45.501  47.773  48.837   1.070   0.004   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 14      100      100       10    4.408   6.134   6.757   6.817   0.720   0.004   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
  6     1000     1000       11   50.612  57.564  62.182 129.552   4.813   0.005   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
  9     1000      100        1    0.850   1.255   6.203  10.708   0.964   0.008   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 22     1000     1000        1    9.988  14.088  15.903  19.725   2.148   0.010   0.014 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 30     1000     1000        1    5.213   7.892   8.430  14.790   1.126   0.005   0.008 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 34     1000     1000        1    5.571   6.765   6.978   8.533   0.526   0.006   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
 26      100      100        1    0.556   0.716   4.339   4.467   0.582   0.006   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
 37     1000     1000        1    6.267   8.001   8.968  16.952   0.912   0.006   0.008  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
  7      100      100        1    0.438   1.059   5.026   5.049   0.745   0.004   0.011  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 11     1000     1000        1    4.158   5.722   6.043  51.376   1.660   0.004   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 13      100      100        1    0.306   0.471   1.565   1.700   0.199   0.003   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 18     1000     1000        1    3.470   4.707   4.849   6.028   0.500   0.003   0.005  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 29      100        1        1    0.059   0.080   0.118   0.136   0.011   0.059   0.080  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 15     1000        1        1    0.057   0.070   0.088   8.795   0.278   0.057   0.070  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 12      100        1        1    0.011   0.016   0.565   0.886   0.087   0.011   0.016  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 27     1000        1        1    0.049   0.064   0.095   3.628   0.115   0.049   0.064  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 25      100        1      100    0.614   0.672   5.867   6.119   0.726   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
 19     1000        1      100    0.633   0.689   2.702   2.886   0.331   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
  2      100        1       10    0.079   0.118   0.334   0.430   0.039   0.008   0.012  54.000  54.000   match_k10to100_m50_v100to100                                               
 24     1000        1       11    0.072   0.090   0.106  10.048   0.412   0.007   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  1      100        1        1    0.012   0.069   1.143   1.634   0.167   0.012   0.069  56.000  56.000   match_k1to100_m50_v100to100                                                
  8     1000        1        1    0.011   0.016   0.025  12.183   0.385   0.011   0.016  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 17      100        1        1    0.006   0.010   0.020   0.022   0.002   0.006   0.010  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
  3     1000        1        1    0.006   0.007   0.010   2.051   0.067   0.006   0.007  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 32      100        1        1    0.003   0.005   0.199   0.301   0.030   0.003   0.005  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 16     1000        1        1    0.006   0.006   0.017   0.556   0.017   0.006   0.006  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  4      100        1        1    0.006   0.008   0.018   0.018   0.002   0.006   0.008  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 38     1000        1        1    0.003   0.004   0.007   0.016   0.001   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 10      100        1        1    0.007   0.018   0.038   0.049   0.005   0.007   0.018  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 28     1000        1        1    0.011   0.027   0.037   0.178   0.009   0.011   0.027  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 35      100        1        1    0.011   0.025   0.351   0.529   0.052   0.011   0.025  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 36     1000        1        1    0.016   0.029   0.036   0.046   0.008   0.016   0.029  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
  5      100        1        1    0.008   0.014   0.769   1.145   0.114   0.008   0.014  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 21     1000        1        1    0.008   0.011   0.020   0.078   0.003   0.008   0.011  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
