resultsFileName : 2016-01-28_linux_v1.0.6_node-v5.4.1_v100to1k_1453990325684.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 33      100      100      100   40.708  42.912  43.958  44.134   1.202   0.004   0.004 100.000   1.000   filter_k100to100_m100_v100to100                                            
  2      100      100       10    3.975   5.397  11.320  13.994   1.129   0.004   0.005  54.000   0.540   filter_k10to100_m50_v100to100                                              
  8     1000     1000       11   47.458  53.618  59.132 186.283   6.251   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 24     1000      100        1    0.802   1.267   2.388   4.009   0.321   0.008   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
  7     1000     1000        1    8.783  12.303  14.398  18.952   1.894   0.009   0.012 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
 15      100      100        1    0.542   0.665   5.906   6.564   0.814   0.005   0.007  56.000   0.560   filter_k1to100_m50_v100to100                                               
  6     1000     1000        1    5.925   7.430   8.173  13.296   0.790   0.006   0.007  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 30      100      100        1    0.434   0.521   2.671   3.127   0.335   0.004   0.005  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
  4     1000     1000        1    4.678   6.142   6.468   8.351   0.580   0.005   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 26      100      100        1    0.343   0.527   2.443   2.500   0.312   0.003   0.005  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
 14     1000     1000        1    3.968   8.203   9.194  11.311   1.591   0.004   0.008  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 18      100        1        1    0.055   0.079   0.189   0.201   0.020   0.055   0.079  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 11     1000        1        1    0.058   0.076   0.123  11.997   0.386   0.058   0.076  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 17      100        1        1    0.049   0.076   0.175   0.209   0.019   0.049   0.076  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 34     1000        1        1    0.047   0.061   0.086   2.679   0.086   0.047   0.061  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 27      100        1      100    0.595   0.654   3.310   3.557   0.374   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
 22     1000        1      100    0.607   0.685   2.192   5.976   0.296   0.006   0.007 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 10      100        1       10    0.068   0.085   0.103   0.105   0.009   0.007   0.008  54.000  54.000   match_k10to100_m50_v100to100                                               
 28     1000        1       11    0.068   0.090   0.106   7.559   0.237   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
  0      100        1        1    0.015   0.124   1.074   1.259   0.148   0.015   0.124  56.000  56.000   match_k1to100_m50_v100to100                                                
  1     1000        1        1    0.011   0.021   0.034   6.448   0.212   0.011   0.021  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
  5      100        1        1    0.006   0.008   0.020   0.024   0.002   0.006   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 23     1000        1        1    0.005   0.006   0.018   0.019   0.002   0.005   0.006  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 12      100        1        1    0.005   0.009   0.017   0.017   0.002   0.005   0.009  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
 21     1000        1        1    0.005   0.006   0.017   0.063   0.003   0.005   0.006  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
  3      100        1        1    0.006   0.008   0.017   0.017   0.002   0.006   0.008  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
 31     1000        1        1    0.004   0.005   0.017   0.133   0.005   0.004   0.005  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 20      100        1        1    0.010   0.029   0.049   0.057   0.009   0.010   0.029  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
  9     1000        1        1    0.010   0.026   0.037   2.907   0.094   0.010   0.026  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 16      100        1        1    0.019   0.032   0.055   0.056   0.010   0.019   0.032  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 29     1000        1        1    0.018   0.025   0.035   0.169   0.010   0.018   0.025  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 25      100        1        1    0.006   0.008   0.016   0.019   0.001   0.006   0.008  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
 32     1000        1        1    0.006   0.008   0.020   0.123   0.004   0.006   0.008  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 19      100        1        1    0.007   0.019   0.024   0.026   0.003   0.007   0.019  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 13     1000        1        1    0.007   0.008   0.019   9.111   0.288   0.007   0.008  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
