resultsFileName : 2016-02-08_linux_v1.0.6_node-v4.2.4_v100to1k_1454969010457.json
seq       nT       nO       nP    T-q50   T-q95   T-q99   T-max  T-stdev  P-q50   P-q95     mT%     mO%   testName                                                                 
 33     1000     1000        1    0.911   1.383   1.950  92.804   2.922   0.001   0.001 100.000   0.100   filterAsync_k1to100_fixedKey_k1d_v1kto1k                                   
 13     1000     1000        1    1.694   1.809   5.333  15.391   0.709   0.002   0.002 100.000   0.100   filterAsync_k1to100_fixedKey_k4d_v1kto1k                                   
  9      100      100      100   43.330  45.429  48.485  49.377   1.325   0.004   0.005 100.000   1.000   filter_k100to100_m100_v100to100                                            
 36      100      100       10    4.050   5.803   6.456   6.561   0.706   0.004   0.006  54.000   0.540   filter_k10to100_m50_v100to100                                              
  0     1000     1000       11   48.343  55.120  98.702 137.821   7.992   0.004   0.005  50.200   0.050   filter_k10to100_m50_v1kto1k                                                
 10     1000      100        1    0.819   1.293   4.069   5.076   0.564   0.008   0.013  81.500   1.933   filter_k1to100_charDotStar_v1kto100                                        
 20     1000     1000        1    7.163   9.721  10.977  12.458   1.496   0.007   0.010 100.000   1.886   filter_k1to100_charDotStar_v1kto1k                                         
  4     1000     1000        1    4.914   6.573  10.945  91.049   3.038   0.005   0.007 100.000   0.100   filter_k1to100_fixedKey_k1d_v1kto1k                                        
 21     1000     1000        1    5.617   6.874   7.196   9.663   0.552   0.006   0.007 100.000   0.100   filter_k1to100_fixedKey_k4d_v1kto1k                                        
  5      100      100        1    0.527   0.649   3.219   3.424   0.386   0.005   0.006  56.000   0.560   filter_k1to100_m50_v100to100                                               
  2     1000     1000        1    6.334  12.032  12.902  18.282   2.399   0.006   0.012  49.300   0.049   filter_k1to100_m50_v1kto1k                                                 
 24      100      100        1    0.424   0.669   3.318   3.612   0.408   0.004   0.007  42.000   4.060   filter_k1to1_pRegDotStar_tWord_m50_v100to100                               
 29     1000     1000        1    4.146   5.754   6.292  18.551   0.814   0.004   0.006  50.600   4.580   filter_k1to1_pRegDotStar_tWord_m50_v1kto1k                                 
 12      100      100        1    0.303   0.359   6.619   7.512   0.905   0.003   0.004  57.000   0.570   filter_k1to1_pWord_tWord_m50_v100to100                                     
  3     1000     1000        1    2.938   7.538   8.368   9.192   1.764   0.003   0.008  48.800   0.049   filter_k1to1_pWord_tWord_m50_v1kto1k                                       
 27      100        1        1    0.058   0.082   0.121   0.132   0.011   0.058   0.082  56.000  56.000   matchSimple_k1to100_m50_v100to100                                          
 38     1000        1        1    0.059   0.068   0.093   8.272   0.260   0.059   0.068  49.300  49.300   matchSimple_k1to100_m50_v1kto1k                                            
 16      100        1        1    0.048   0.064   0.107   0.117   0.009   0.048   0.064  57.000  57.000   matchSimple_k1to1_pWord_tWord_m50_v100to100                                
 15     1000        1        1    0.048   0.063   0.120   5.621   0.187   0.048   0.063  48.800  48.800   matchSimple_k1to1_pWord_tWord_m50_v1kto1k                                  
 32      100        1      100    0.610   0.677   4.258   4.969   0.534   0.006   0.007 100.000 100.000   match_k100to100_m100_v100to100                                             
 22     1000        1      100    0.606   2.821   7.035  25.293   1.700   0.006   0.028 100.000 100.000   match_k100to100_m100_v1kto1k                                               
 14      100        1       10    0.067   0.097   0.186   0.232   0.020   0.007   0.010  54.000  54.000   match_k10to100_m50_v100to100                                               
 11     1000        1       11    0.071   0.090   0.106   8.318   0.332   0.006   0.008  50.200  50.200   match_k10to100_m50_v1kto1k                                                 
 30      100        1        1    0.010   0.014   0.021   0.024   0.002   0.010   0.014  56.000  56.000   match_k1to100_m50_v100to100                                                
  8     1000        1        1    0.010   0.015   0.023   8.197   0.259   0.010   0.015  49.300  49.300   match_k1to100_m50_v1kto1k                                                  
 25      100        1        1    0.006   0.008   0.015   0.019   0.001   0.006   0.008  47.000  47.000   match_k1to1_pParagraph_tParagraph_m50_v100to100                            
 37     1000        1        1    0.004   0.005   0.006   0.963   0.030   0.004   0.005  49.500  49.500   match_k1to1_pParagraph_tParagraph_m50_v1kto1k                              
 18      100        1        1    0.004   0.015   0.079   0.079   0.013   0.004   0.015  47.000  47.000   match_k1to1_pString_tString_m50_v100to100                                  
  1     1000        1        1    0.003   0.004   0.008   1.354   0.046   0.003   0.004  50.800  50.800   match_k1to1_pString_tString_m50_v1kto1k                                    
 31      100        1        1    0.006   0.008   0.026   0.031   0.003   0.006   0.008  57.000  57.000   match_k1to1_pWord_tWord_m50_v100to100                                      
  6     1000        1        1    0.003   0.004   0.015   0.606   0.019   0.003   0.004  48.800  48.800   match_k1to1_pWord_tWord_m50_v1kto1k                                        
 23      100        1        1    0.012   0.034   0.064   0.066   0.011   0.012   0.034  42.000  42.000   regMatch_k1to1_pRegDotStar_tWord_m50_v100to100                             
 34     1000        1        1    0.008   0.024   0.032   0.520   0.020   0.008   0.024  50.100  50.100   regMatch_k1to1_pRegDotStar_tWord_m50_v1kto1k                               
 35      100        1        1    0.014   0.025   0.042   0.051   0.008   0.014   0.025  40.000  40.000   regMatch_k1to1_pRegDot_tWord_m50_v100to100                                 
 26     1000        1        1    0.022   0.028   0.033   2.886   0.091   0.022   0.028  44.800  44.800   regMatch_k1to1_pRegDot_tWord_m50_v1kto1k                                   
 28      100        1        1    0.008   0.020   0.035   0.039   0.005   0.008   0.020  57.000  57.000   regMatch_k1to1_pRegMidStr_tWord_m50_v100to100                              
  7     1000        1        1    0.005   0.006   0.017   2.361   0.075   0.005   0.006  48.200  48.200   regMatch_k1to1_pRegMidStr_tWord_m50_v1kto1k                                
 17      100        1        1    0.008   0.020   4.354   6.878   0.683   0.008   0.020  51.000  51.000   regMatch_k1to1_pRegPhone_tPhone_m50_v100to100                              
 19     1000        1        1    0.008   0.011   0.078  95.120   3.006   0.008   0.011  47.500  47.500   regMatch_k1to1_pRegPhone_tPhone_m50_v1kto1k                                
